Wingtips Bar and Bistro, our full service restaurant, features a classic American fare menu including an available delicious breakfast buffet option. We serve lunch and dinner as well with a variety of yummy salads, sandwiches, burgers, and entree options to satisfy anyone's tastes.	Wingtips Bar and Bistro offers American fare for breakfast, lunch and dinner.  Breakfast is a buffet. Lunch and dinner feature a variety of salads, sandwiches and burgers in a casual setting. 
The sun-drenched flavors of Italy infuse the food and complement the mood at this casual-romantic restaurant. Discover a warm friendly atmosphere, great food and an eclectic wine list. Enjoy stunning alpen glow vistas from your dining table. Patio seating is available during the summer.	The <name> is an Italian restaurant featuring a warm, casual and romantic atmosphere. You’ll find most of your favorite menu items along with an interesting wine list. Great views of the surrounding scenery are a bonus.  In summer, patio seating is available.
<name> is named for the Waterpocket Fold in Capitol Reef National Park, a quintessentially Utah landscape and a national treasure. A wild and remote place, it attracts adventurers prepared to step away from the safe and ordinary. We invite you to leave the everyday behind and come to a place where your tastes are challenged with wilder flavors and unexpected discoveries. In our research, we have discovered a rich vein of pre-Prohibition herbal spirits, bitters and LONG LOST™ liqueurs. We intend to mine these recipes for flavor gold. Our motto is OPEN WILD™. Prepare to be challenged and delighted.	Waterpockets Distillery is named after the wild and unspoiled Waterpocket Fold in Capitol Reef National Park. Like its namesake, <name> aims to present its guests with unique and challenging offerings. Interestingly, the distillery is exploring herbal spirits, bitters and liqueurs they discovered from pre-Prohibition times.
<name> is a great spot to watch the game and catch up with friends. There are flat screen TV's, an outdoor patio, local craft beers on tap, and a gourmet bar menu.	<name> is a friendly sports bar that offers local beers on tap and a bar menu. They have flat screen tv's and an outdoor patio.
"Featuring fine German breads, rolls, pretzels, pastries, and desserts. Now with seating and serving breakfast and lunch. Also featuring locally roasted Millcreek Coffee. Named ""Best Bakery"" by several publications. Open Monday-Friday 7am-6pm, Saturday 8am-4:30pm, Closed Sunday."	<name> offers German breads, pastries, desserts and pretzels.  Vosen’s serves breakfast and lunch and features locally roasted coffee by Millcreek Coffee.
American, organic, vegetarian, locally grown, made in-house, jukebox, counter, hand-cut fries, breakfast all day, organic wine and beer, outside dining, plenty of parking.	<name> offers American vegetarian food that is organic and locally grown. Breakfast is served all day while also offering organic wine and beer. Outside dining and parking is available. 
VENETO is a classic, Northeast Italian dining experience, bringing to life the region’s history, culture, and traditions in a warm and enlightening setting. Serving dinner Monday through Saturday, starting at 5:30pm, and happy to seat guests as late as 10pm. Utah’s first fine dining restaurant to not accept tips. Private lunches available for groups of 25 or more. View menu.	VENETO is a Northeast Italian restaurant in a warm setting. Dinner is served Monday through Saturday. Private lunches are available for groups of 25 or more. 
Fine Italian restaurant featuring cuisine from chef Valter Nassi's Tuscan homeland. Serving antipasti, house made pasta, seafood, and steak.	<name> is a fine dining Itaian restaurant from chef Valter Nassi. Antipasti, steak, seafood and house made pasta are all on the menu.
The Exchange Place space formerly known as The Lazy Moon sat unoccupied for nearly a decade until summer 2015, when nightclub/restaurant Twist opened in the unique multi-level venue. In addition to fencing off the sizable patio area—much to the chagrin of local wedding photographers—the interior of the former 19th-century boiler room has been given a sleek makeover that is at once classic and modern. Same goes for its specialty drink menu, expansive beer and wine lists and food that has patrons raving. There’s no club like this in Utah; you’ve got to see (and taste) it for yourself.	<name> is a nightclub and restaurant located in downtown Salt Lake City. It is a multi-level venue inside a former 19th-century boiler room while outside they have a large patio area. They offer a speciality drink menu, a wide array of beers and wines and a bar menu. They offer brunch on Saturdays and Sundays.
"Authentic Italian restaurant with a mountain lodge theme at the base of the Wasatch Mountains. Wine Spectator Award of Excellence. Zagat rated ""Excellent."""	"<name> is an Italian restaurant at the base of the Wasatch Mountains. In a mountain lodge theme space, they have won the Wine Spectator Award of Excellence and is rated ""Excellent"" by Zagat."
